helics_simulation_time,powerRequired
1882.0,-505.264935681637
1883.0,-505.1919343690813
1884.0,-505.1189498152781
1885.0,-505.0459820065286
1886.0,-504.9730309913298
1887.0,-504.90009678233434
1888.0,-504.82717938390755
1889.0,-504.7542787921271
1890.0,-504.6813949947844
1891.0,-504.6085280067961
1892.0,-504.53567781592596
1893.0,-504.46284437482603
1894.0,-504.390027647081
1895.0,-504.3172275887507
1896.0,-504.2444441483675
1897.0,-504.17167728279765
1898.0,-504.0989270389788
1899.0,-504.0261932905768
1900.0,-503.9534759734838
1901.0,-503.8807750176093
1902.0,-503.8080903468805
1903.0,-503.7354218792405
1904.0,-503.66276963160533
1905.0,-503.5901335216888
1906.0,-503.51751343596703
1907.0,-503.44490929029587
1908.0,-503.3723209963885
1909.0,-503.2997484618157
1910.0,-503.2271916241818
1911.0,-503.15465049600556
1912.0,-503.0821249186859
1913.0,-503.0096148041603
1914.0,-502.93712006205607
1915.0,-502.86464059969086
1916.0,-502.79217632207263
1917.0,-502.7197273299497
1918.0,-502.64729348477675
1919.0,-502.5748746737028
1920.0,-502.5024708167923
1921.0,-502.864921252878
1922.0,-503.2273856632895
1923.0,-503.5898646781792
1924.0,-503.95235826151486
1925.0,-504.3148663485845
1926.0,-504.67738892768483
1927.0,-505.0399258737286
1928.0,-505.40247721637496
1929.0,-505.7650427925952
1930.0,-506.12762265984327
1931.0,-506.49021664350073
1932.0,-506.852824808439
1933.0,-507.2154470234705
1934.0,-507.578083280908
1935.0,-507.9407335450042
1936.0,-508.30339773911567
1937.0,-508.6660758328492
1938.0,-509.0287677860825
1939.0,-509.39147356202886
1940.0,-509.75419311573506
1941.0,-510.11692644225144
1942.0,-510.47967350602437
1943.0,-510.8424342628924
1944.0,-511.2052086764208
1945.0,-511.56799675327375
1946.0,-511.9307984920926
1947.0,-512.293613842257
1948.0,-512.6564427784396
1949.0,-513.019285299717
1950.0,-513.3821414418517
1951.0,-513.7450111561827
1952.0,-514.1078944285945
1953.0,-514.4707912516731
1954.0,-514.8337016831731
1955.0,-515.1966256824306
1956.0,-515.5595632450937
1957.0,-515.9225143668102
1958.0,-516.2854790997376
1959.0,-516.6484574284124
1960.0,-517.011449351657
1961.0,-517.3744548730673
1962.0,-517.737474027411
1963.0,-518.1005068278672
1964.0,-518.4635532737337
1965.0,-518.8266133747908
1966.0,-519.1896871552123
1967.0,-519.5527746431479
1968.0,-519.9158758411536
1969.0,-520.2789907635073
1970.0,-520.6421194290024
1971.0,-521.0052618697152
1972.0,-521.3684180932202
1973.0,-521.7315881166539
1974.0,-522.0947719573747
1975.0,-522.4579696430255
1976.0,-522.8211811869044
1977.0,-523.1844066074617
1978.0,-523.5476459231472
1979.0,-523.910899150173
1980.0,-524.2741663070165
1981.0,-524.6374474120961
1982.0,-525.0007424834492
1983.0,-525.3640515391052
1984.0,-525.7273745970806
1985.0,-526.0907116688604
1986.0,-526.4540627604399
1987.0,-526.8174278956104
1988.0,-527.1808070895628
1989.0,-527.5442003572522
1990.0,-527.9076077133969
1991.0,-528.2710291724798
1992.0,-528.6344647234419
1993.0,-528.9979143888428
1994.0,-529.361378180516
1995.0,-529.7248561081409
1996.0,-530.0883481808419
1997.0,-530.4518544071877
1998.0,-530.8153747862104
1999.0,-531.1789093165005
2000.0,-531.5424580096796
2001.0,-531.9060208692398
2002.0,-532.2695978978717
2003.0,-532.6331890974664
2004.0,-532.9967944688959
2005.0,-533.3604140047919
2006.0,-533.7240477080968
2007.0,-534.0876955764808
2008.0,-534.4513576067234
2009.0,-534.8150337947131
